gene	average_utr_length	type
CERK	428.55555555555554	other
PEAK1	6815.666666666667	other
HLA-DRB1	322.5	other
AL355102.2	221.0	other
MUC13	1300.0	other
BX248244.1	113.0	other
S100A6	96.0	other
SPRR3	324.5	other
FRYL	1217.0	other
PROS1	1173.0	other
YBX2	143.5	other
EPN3	245.6060606060606	other
DMRTA2	1114.0	other
WARS2	1916.0	other
SH3GL3	273.875	other
ST7	231.17391304347825	other
ACTL6A	200.75	other
COMMD2	751.0	other
CDC20	73.0	other
TM4SF4	587.0	other
SAMD13	395.875	other
FAM3C	1609.0	other
FGF2	4914.666666666667	other
POGZ	960.375	other
ZNF654	3011.5	other
VANGL1	3659.0	other
GAPT	1713.0	other
TSHB	68.5	other
SNX13	377.6585365853659	other
TCL1A	299.77777777777777	other
HTR1F	1984.0	other
LRP8	400.3809523809524	other
ACAN	680.8571428571429	other
NBPF3	229.63636363636363	other
AADAT	703.25	other
KIAA1257	662.25	other
GABRB3	1385.9130434782608	other
ROPN1	839.5	other
TBR1	850.0	other
DNAJC28	138.0	other
TMOD4	113.3	other
OR6C74	75.0	other
PRKN	1011.5	other
MTRNR2L5	66.0	other
POLR2J	395.0	other
EXOSC3	581.75	other
MUC4	164.2711966325917	other
SNX10	1235.3333333333333	other
NAALADL2	1159.0	other
RPS11	126.83333333333333	other
SH2B2	70.8	other
SDS	495.0	other
SHISAL2A	24.0	other
APH1A	856.6666666666666	other
EFCAB14	970.5	other
PPP1R1A	626.3333333333334	other
C1orf54	35.8	other
AADACL3	2403.0	other
RPL7A	59.0	other
RSBN1	1156.6	other
GNAT1	340.25	other
FAIM	240.0	other
DCLRE1B	1894.0	other
SULT1C4	415.5	other
PPTC7	3791.0	other
AADACL4	350.0	other
HERC5	213.5	other
KLHL24	1964.0	other
PLBD2	782.4	other
DCHS2	1692.5	other
TMEM249	119.0	other
XPNPEP3	884.6	other
ZIC1	1647.5	other
SYT1	2021.75	other
FLRT2	15758.5	other
ANKRD34B	1719.0	other
CCDC59	844.0	other
GABRR1	440.8	other
DENND2D	430.0	other
BAG6	103.17777777777778	other
GIPC2	2705.0	other
VTI1A	2184.5	other
TULP4	1411.8	other
CSTF2T	2211.0	other
BARHL2	772.0	other
SNRPF	514.6666666666666	other
ASB18	120.0	other
FAM120C	2005.6666666666667	other
CST8	103.0	other
PRPF38A	4148.0	other
CHI3L2	132.83333333333334	other
VTA1	2768.0	other
PCED1B	298.0	other
MSL2	1371.5	other
CCDC114	518.0	other
PAQR3	640.1034482758621	other
MARF1	477.6470588235294	other
ART3	274.6666666666667	other
MAVS	9968.5	other
AGR2	526.0	other
CBX3	846.4	tr
CTDP1	1302.25	other
SYT14	2283.133333333333	other
ACOX3	361.6666666666667	other
EDNRA	699.375	other
DDX55	145.2	other
GPR84	214.0	other
ADAP2	302.07142857142856	other
HSPBAP1	341.0	other
SLC4A8	4274.0	other
ITGA5	136.42857142857142	other
LAMP1	1250.0	other
ABCG2	2027.5	other
DENND5B	958.7142857142857	other
PPM1J	133.54545454545453	other
ACTR3B	534.3333333333334	other
SELENOF	516.6666666666666	other
MDM1	416.6842105263158	other
IL17RD	2244.25	other
NFKBIB	412.2857142857143	other
TMEM213	1164.0	other
CRISP1	965.75	other
RNASE7	350.3333333333333	other
AP1AR	1002.0	other
SPSB1	1121.5	other
TCF19	1408.0	other
FBXW2	7584.0	other
NBPF11	727.3636363636364	other
FAM241A	8317.0	other
PPIG	662.0	other
MYSM1	5251.0	other
AP1S1	213.5	other
RASD2	1968.0	other
NUDT8	186.0	other
MSMO1	851.6666666666666	other
GP5	1778.0	other
MYH7B	246.71428571428572	other
OPA3	3163.0	other
MAST2	337.4	other
PTPN13	593.3333333333334	other
FOXA2	844.0	tr
CR1L	72.0	other
AL121722.1	1580.0	other
MS4A1	1773.8	other
TRPC4AP	741.0	other
WDR53	23.666666666666668	other
EIF2B3	223.0	other
GK3P	171.0	other
SH2D6	113.5	other
SALL2	761.4	other
LDLRAD2	1091.6666666666667	other
ZBTB7C	2586.0	other
MARCH10	372.6666666666667	other
HES1	498.0	tr
PPIL3	238.5	other
SLC44A4	420.1818181818182	other
QARS	84.86813186813187	other
PTCH2	723.0	other
TGFBR2	2538.0	other
NDUFA12	153.9090909090909	other
ZNF705A	1617.6666666666667	other
SMIM31	1429.5	other
C19orf18	164.0	other
MAPRE2	2665.8333333333335	other
ADAMTS18	408.5	other
GRB10	804.5862068965517	other
MCM7	137.25	other
SYNJ1	1202.1666666666667	other
SEMA3F	958.0	other
FSTL5	1848.0	other
RERG	966.8	other
DGCR8	1763.6666666666667	other
CENPQ	831.0	other
SENP8	2062.0	other
MYBL1	1272.5	other
THRSP	355.0	other
PLG	465.5	other
NDUFC2-KCTD14	160.75	other
RFPL2	417.2857142857143	other
SYCE1L	105.0	other
PTK6	578.1666666666666	other
RANBP1	267.375	other
VAMP2	735.75	other
NDUFC2	716.4	other
UBA7	100.0	other
SEPSECS	366.0869565217391	other
PDE6B	337.4	other
EDEM1	590.5555555555555	other
KCTD14	877.0	other
CD52	220.0	other
CRADD	424.0	other
MVP	136.8	other
C10orf128	666.8888888888889	other
FOXK1	4703.5	tr
SH3BGRL3	432.0	other
HNRNPA1	392.6666666666667	other
UBXN11	173.66666666666666	other
GHRHR	165.625	other
RASSF5	2469.5	other
KCND3	1982.6666666666667	other
ARL8B	545.2307692307693	other
SLC5A4	37.0	other
FAM133B	520.4444444444445	other
TRMT2A	467.4	other
HNRNPH1	248.89655172413794	other
NEIL2	666.4285714285714	other
SLC16A7	576.04	other
CEP120	327.57142857142856	other
EIF2D	119.36363636363636	other
PLS1	1118.0	other
OR2H1	763.4	other
MBLAC1	301.0	other
ACHE	281.2142857142857	other
SLC39A14	1648.25	other
CNPY4	422.3333333333333	other
CXCL13	794.0	other
TMEM132B	7663.0	other
FAM205A	176.0	other
PAGR1	362.0	other
TOM1	200.04444444444445	other
MIER3	1008.3125	other
TAF6	158.875	other
MS4A4A	189.66666666666666	other
SMAGP	446.1111111111111	other
DYRK3	202.0	other
DDX52	387.5483870967742	other
TTC3	964.8333333333334	other
TFRC	1595.6	other
OR9Q2	1349.5	other
OR8B12	39.0	other
GLYATL3	132.0	other
OR8A1	1632.3333333333333	other
GPR89A	135.17391304347825	other
RWDD4	459.8	other
TWF1	472.8666666666667	other
NASP	140.64444444444445	other
OR1S2	1.0	other
DPP9	271.94117647058823	other
PANX3	420.0	other
OR1S1	361.0	other
OR10Q1	33.0	other
PAX1	1882.3333333333333	other
C6orf141	247.36363636363637	other
MAPKAPK2	1167.5	other
DAZAP2	642.3	other
EXPH5	2346.0	other
MARCH3	1581.0	other
OR10W1	148.0	other
GALNT11	450.6666666666667	other
FASTKD1	72.0	other
CTBP1	668.8888888888889	tr
OR5B17	0.0	other
OR5B3	0.0	other
OR5B2	566.5	other
PLPP3	1803.0	other
SLC35G1	718.2307692307693	other
SETD9	230.16666666666666	other
IRF5	377.5263157894737	other
BLID	241.0	other
OR5B12	107.5	other
MS4A6E	86.75	other
VCPIP1	6013.0	other
AC119674.2	339.93333333333334	other
IL10	1033.0	other
MS4A14	710.6	other
GXYLT2	1766.0	other
DBNDD2	412.75	other
POMP	822.0	other
SERF1B	633.7777777777778	other
EBLN2	436.0	other
GAS2L3	564.8	other
DIO2	1636.5454545454545	other
PPP4R2	817.2	other
AIF1	120.0	other
NAF1	233.0	other
CNOT6L	889.5384615384615	other
IL19	357.0	other
TPP1	568.2545454545455	other
OR5B21	0.0	other
EXOC1	531.0	other
MRC2	602.75	other
DCP1A	774.3333333333334	other
RHAG	192.125	other
PPM1B	1318.75	other
TNFRSF8	445.3125	other
IL20	553.0	other
CTTNBP2NL	3751.0	other
PODXL	763.4285714285714	other
TRAPPC11	229.64705882352942	other
TTC27	94.35714285714286	other
DAOA	208.48	other
MS4A7	997.75	other
CHDH	5441.0	other
IL24	686.1428571428571	other
BAHCC1	2513.5	other
PLXNC1	608.5	other
FLYWCH2	158.33333333333334	other
LIG1	219.2962962962963	other
CCS	125.2	other
PITX2	679.3	other
TMEM108	1767.5	other
MYL10	149.0	other
SERPINA1	772.1	other
PDZK1	538.6666666666666	other
SYS1-DBNDD2	190.22222222222223	other
TRPM8	311.1666666666667	other
NFYC	431.1818181818182	other
NTM	1124.142857142857	other
IFI6	316.3333333333333	other
DDX10	2336.0	other
CAPZA1	1486.0	other
SH2D7	1123.5	other
C5orf63	982.8888888888889	other
SYS1	914.1666666666666	other
CCDC87	289.0	other
ACSBG1	333.68	other
HDAC6	220.0	tr
AARD	1785.0	other
RABGGTB	219.5	other
DDX6	1539.6666666666667	other
DHX36	1073.5	other
POLR3C	111.5	other
OR1M1	754.0	other
MMP21	208.0	other
BFSP2	220.0	other
FCMR	224.66666666666666	other
WNT2B	4194.666666666667	other
KANTR	2941.0	other
TMEM14A	538.0	other
CEP83	400.8181818181818	other
TP53TG5	1343.0	other
BEST4	624.0	other
FAM189A2	423.1111111111111	other
LPXN	365.1111111111111	other
SLC30A8	2395.5	other
ERCC3	182.43820224719101	other
ST7L	1067.9	other
MEGF10	2122.75	other
C5orf51	2633.5	other
CD160	1434.6666666666667	other
SELENOM	193.0	other
PLK3	311.0	other
KIR3DL2	410.1707317073171	other
RFPL3	328.0	other
PPP1R13B	372.6842105263158	other
PIGR	1799.0	other
IDH3A	220.21428571428572	other
RNF115	7997.0	other
B3GALNT2	606.5	other
LAIR2	213.28571428571428	other
CLDN23	828.0	other
SLC46A3	822.5	other
OR7G2	1861.0	other
FAM205C	170.0	other
HP1BP3	1515.6666666666667	other
ZNF418	359.25	other
FCAMR	347.0	other
C10orf71	633.0	other
GP1BA	440.5	other
GABRA2	621.2592592592592	other
PIAS3	923.0	other
TCTEX1D4	89.0	other
MFHAS1	2667.0	other
TRAFD1	289.22222222222223	other
MYO5A	1353.9615384615386	other
TBCE	127.73730297723293	other
TNFRSF1B	2207.0	other
ACADM	177.7659574468085	other
KIR3DX1	307.4782608695652	other
AHSA1	236.42857142857142	other
NPY1R	834.5	other
PDGFRB	228.85	other
SPATA5L1	152.25	other
ADCYAP1R1	2017.6	other
PIK3C2A	1215.6666666666667	other
NRBP1	443.3333333333333	other
C1orf116	2349.0	other
NPY5R	222.66666666666666	other
ARID4B	362.8333333333333	other
VASP	199.54545454545453	other
PLCE1	1170.0	other
ANKMY2	332.0	other
PLXNA4	4009.75	other
TRPC1	665.4	other
GATM	366.25	other
YOD1	5170.0	other
MACF1	572.5	other
HOPX	711.5	other
RPS13	30.5	other
NUDT17	473.0	other
CDAN1	203.13333333333333	other
PFKFB2	501.72222222222223	other
SUMO2	1087.3333333333333	other
ABCE1	280.22222222222223	other
VIPAS39	674.8333333333334	other
SYDE2	1876.0	other
ANKRD35	123.5	other
C1orf52	660.0	other
SMIM30	608.5	other
DRGX	1934.0	other
JPT1	345.57142857142856	other
PFN3	55.0	other
PDZRN3	479.5	other
ADARB1	1754.0	other
RBM4B	281.45454545454544	other
ZNF317	1311.0	other
ELOF1	527.375	other
CIB2	237.30769230769232	other
ATXN10	862.5	other
SPAG9	1377.625	other
PRKAA2	7620.5	other
ITGA10	1586.0	other
USO1	953.5	other
TKTL2	760.0	other
RBM4	310.61538461538464	other
DDAH1	2967.0	other
GRK6	365.0	other
SIAE	1700.3333333333333	other
TMA16	338.6666666666667	other
NXNL2	358.5	other
CSNK1G3	1086.875	other
PCBD1	439.0	other
N4BP2L2	980.1111111111111	other
ANO4	262.2	other
CUL4A	1710.8	other
RPS3A	72.36363636363636	other
BCL10	788.0	other
C2orf72	2692.0	other
SPA17	1642.5	other
ZNF839	288.25	other
TSHR	1026.8	other
ATP5MPL	466.25	other
SLC2A5	2009.0	other
RBM14-RBM4	473.4	other
PCOLCE2	140.3	other
TBRG1	558.4375	other
RAB6D	1844.0	other
RBM14	351.8333333333333	other
PPP1R3A	303.2	other
NELFB	617.0	other
SLC25A11	313.0	other
ANKRD34A	826.0	other
ANAPC10	386.7142857142857	other
MAP3K4	191.6	other
LIX1L	2886.0	other
ERCC6L	354.5	other
PABPC1L	156.2	other
FCAR	259.7073170731707	other
PEX11B	509.5	other
TNIK	1120.0	other
RPS4X	628.0	other
EHMT2	324.0	other
MUC3A	301.44444444444446	other
SERPINA11	141.0	other
POLR3GL	261.0	other
CFB	82.05882352941177	other
HECTD4	815.0	other
N4BP2L1	569.8571428571429	other
DDX18	1654.0	other
SPATA12	1164.0	other
SERPINA9	278.125	other
AP002495.1	405.25	other
ARHGEF3	515.6111111111111	other
PIN4	485.7	other
RBM8A	505.6	other
C4BPB	62.25	other
CINP	538.6	other
CHCHD3	359.85714285714283	other
RNF167	199.88888888888889	other
ILK	144.53333333333333	tr
F12	151.0	other
SH3D19	1354.7142857142858	other
CITED1	78.16666666666667	other
DGKD	628.0	other
CEP128	475.27272727272725	other
FYB2	866.0	other
GPD1	542.6	other
PRR7	152.0	other
STAT3	686.1666666666666	tr
FAM76A	1009.4	other
PAQR9	861.6666666666666	other
TNPO3	350.55555555555554	other
TRAK1	1251.9	other
TXNIP	713.0	other
SYNPO2	3413.0	other
U2SURP	285.7647058823529	other
ZNF234	822.0	other
GNG4	2349.6	other
PCID2	275.5	other
FBXO33	1006.0	other
STOX2	1208.0	other
IFI30	205.0	other
CYR61	919.0	other
TOMM34	978.0	other
S1PR3	2672.0	other
IQCH	304.94117647058823	other
C9orf47	2792.3333333333335	other
PPEF2	303.64285714285717	other
C4BPA	123.0	other
ZNF517	462.3333333333333	other
SLC5A8	1785.5	other
HFE2	502.1666666666667	other
NFAT5	1109.974358974359	other
MGAT5B	626.9	other
AC007192.1	238.5	other
ZNHIT6	2941.5	other
PIK3R2	377.75	other
ENPP6	2470.0	other
ZNF627	1825.0	other
AP5Z1	382.0	other
LYST	244.48837209302326	other
OTUD4	2626.6666666666665	other
UPK2	325.0	other
C8A	504.0	other
ACP5	266.6	other
ZDHHC19	166.75	other
BCL9L	2603.5	other
SLC38A1	1809.4	other
CNTF	1210.0	other
RAB33A	129.0	other
ZFP91	3335.0	other
MYOZ2	1588.0	other
FBXO4	298.125	other
CD55	406.38461538461536	other
CXCR5	3135.0	other
CERS5	258.83720930232556	other
ZNF256	837.5	other
CRLF3	371.2857142857143	other
ZFP91-CNTF	334.5	other
TTLL6	249.08	other
RHEX	271.5	other
ELOVL6	1909.25	other
METTL3	172.95652173913044	other
SLC34A3	137.0	other
MAGI2	888.4814814814815	other
LEMD1	321.7142857142857	other
BX276092.9	81.5	other
EXO5	542.6666666666666	other
ZBTB8OS	141.625	other
OPA1	348.97	other
NUAK2	1390.0	other
ACTR6	173.07407407407408	other
SNX19	674.5	other
ZFP69B	489.0	other
EGF	464.3333333333333	other
AHDC1	283.3	other
ATP23	195.25	other
PALD1	1715.0	other
ARHGDIB	296.0	other
AC011043.2	1008.0	other
ARHGAP11A	1148.0	other
NLRP7	201.1578947368421	other
SPPL3	2488.0	other
IFT80	370.9166666666667	other
ALDH1L2	332.14285714285717	other
THYN1	162.25	other
UPF3A	642.3333333333334	other
ABCD3	852.5	other
DFFA	1443.25	other
PEX14	461.5	other
ADAR	2740.5	other
RNF148	269.0	other
TMED5	1794.0	other
VSIG10	3045.0	other
R3HCC1	107.66666666666667	other
NEIL3	438.25	other
EPCAM	241.75	other
TRPM6	1353.4	other
CENPS-CORT	228.57142857142858	other
FCF1	404.38461538461536	other
TBC1D22A	376.95238095238096	other
ZSCAN29	984.0	other
CCDC198	212.03846153846155	other
PLK4	314.0	other
SLC25A4	1450.6666666666667	other
JTB	247.0	other
HLA-DQB1	605.0277777777778	other
FGGY	277.32142857142856	other
CHRNB4	427.1666666666667	other
S100A8	70.0	other
LUM	1535.0	other
SPRR2D	340.75	other
LCE6A	219.0	other
LCE1A	88.0	other
FLG2	1874.0	other
TCHHL1	822.0	other
TCHH	1067.0	other
PPT1	445.04651162790697	other
FAM46C	4327.0	other
AGBL4	1330.5	other
SCUBE2	331.4	other
ZNF84	1456.142857142857	other
IL2	281.0	other
NHLH2	1429.5	other
MMRN1	818.0	other
CASQ2	1233.0	other
ADGRG7	366.5	other
ZC3HC1	185.91666666666666	other
C2CD2L	1680.0	other
TMEM9B	827.25	other
UQCC1	435.86842105263156	other
NAALAD2	467.75	other
APOL1	635.9	other
GABRA5	821.3333333333334	other
CHMP2B	1267.3333333333333	other
SCNM1	436.6666666666667	other
EBNA1BP2	262.5	other
CST9	1099.0	other
NRF1	1472.4	tr
SLC4A10	378.5652173913044	other
CRIM1	1103.3333333333333	other
LRWD1	133.58333333333334	other
CMTM8	355.0	other
ADPGK	339.88461538461536	other
NEUROD4	2578.0	other
ACP7	618.8	other
CRIP2	368.0	other
COA7	3268.0	other
RAP1B	841.4285714285714	other
CCDC170	3045.0	other
ZNF114	549.0	other
KLHL35	184.0	other
SFSWAP	165.2	other
KCNA10	34.0	other
SEPT14	2368.0	other
ZP1	110.0	other
AP5S1	1993.75	other
NME1	384.85714285714283	other
INSIG2	488.4	other
GBP1	1035.0	other
SRSF12	579.5	other
GBP3	258.4583333333333	other
CCDC192	165.0	other
USP33	724.375	other
NXT1	312.0	other
BTF3L4	778.6666666666666	other
KYAT3	387.5	other
TNNT1	83.9	other
CTXN3	862.0	other
CAMK1G	467.0	other
WDR64	324.0	other
RHCG	159.55	other
KIR2DL3	508.5483870967742	other
RILPL2	5207.0	other
HAND1	833.0	other
ACSS3	1395.0	other
FOXR1	88.0	other
KLF15	1091.0	other
CNOT1	196.13333333333333	other
GET4	1012.0	other
JUN	1286.0	tr
USP40	554.1	other
ACP6	814.2	other
MPHOSPH9	291.25	other
PPP1R17	648.0	other
INO80D	10646.0	other
BOP1	61.0	other
NRG1	575.2142857142857	other
MTSS1	827.1666666666666	other
MEOX2	1174.0	other
ATXN7L2	214.36363636363637	other
DAXX	185.47368421052633	tr
HJURP	433.125	other
KRTAP5-10	541.0	other
ACTN3	120.83333333333333	other
FLNC	749.0	other
NDUFV1	99.23076923076923	other
NAIP	455.9642857142857	other
RABEP1	955.3333333333334	other
FLT3	233.44444444444446	other
ADAMTS20	362.5	other
PIGP	1953.4	other
CTAGE5	558.3636363636364	other
NTAN1	98.71794871794872	other
MINK1	184.25454545454545	other
NEDD4L	1151.2142857142858	other
TMC3	1201.0	other
TPRN	494.0	other
TMEM203	921.0	other
WDFY4	219.0	other
AC010522.1	87.0	other
EFCAB3	147.5	other
STAC	374.0	other
CNPPD1	549.5	other
ZNF587	2980.0	other
ATE1	2795.1666666666665	other
RPL27	70.0	other
ZSCAN21	407.6666666666667	other
ORMDL2	499.0	other
RABEP2	286.8	other
C1orf131	689.0	other
METTL2B	661.6	other
ZNF814	289.26666666666665	other
ZNF552	496.6	other
SDK1	2120.75	other
FAN1	413.85714285714283	other
ZNF417	628.3333333333334	other
AC010326.2	241.0	other
ZNF586	568.6666666666666	other
STAT5B	2569.0	tr
CD47	1202.75	other
SRPK2	428.27272727272725	other
GYPA	483.75	other
FLCN	824.5	other
ERVW-1	383.5	other
GNPAT	169.06666666666666	other
MMP19	482.8666666666667	other
POLR3D	1107.6	other
KHDRBS3	305.14285714285717	other
G3BP2	1319.6	other
MTMR10	332.74285714285713	other
RIPPLY3	1451.0	other
ARL6IP4	151.07692307692307	other
DDX39B	163.03225806451613	other
TRIM67	3849.0	other
FOXO3	1818.5	other
AC023055.1	155.25	other
GDF11	2503.0	other
CABP5	603.0	other
C8orf82	828.2	other
CD164L2	598.0	other
LRRC24	66.0	other
COL9A2	694.0	other
ACTR3	616.1	other
PPP1R15B	2704.0	other
NUB1	504.1666666666667	other
JADE3	2163.5	other
LRG1	1530.0	other
BIVM	1668.0	other
PIK3R6	174.71428571428572	other
AFG1L	599.625	other
MFSD6L	197.0	other
ERCC2	311.75	other
HCRT	93.0	other
SEC62	558.3333333333334	other
FXN	1948.7	other
PACS2	1401.0	other
DENR	1208.5	other
TEX30	378.0	other
VARS	75.0	other
SHROOM3	4075.0	other
JMJD6	856.2727272727273	tr
LRRC7	280.3636363636364	other
TMEM165	307.75	other
PNPLA8	1021.6	other
RPL8	83.8	other
DNAJB9	1496.0	other
C8orf46	752.0	other
LARP6	1286.6666666666667	other
PODNL1	632.0	other
FGF10	1450.0	other
VWA5B1	207.5	other
CTSL	230.66666666666666	other
WDSUB1	226.6	other
KARS	151.3913043478261	other
PTTG1IP	1485.75	other
DNHD1	400.7142857142857	other
OR2M2	37.0	other
ZBTB9	791.0	other
TCIM	1454.0	other
AC037459.1	208.5	other
CHRM2	1706.6666666666667	other
ZNF496	2711.5	other
JPH4	1252.25	other
CASKIN1	1369.0	other
MAGEE1	548.0	other
NME7	135.22222222222223	other
OR12D3	913.0	other
RAB11FIP1	2785.3333333333335	other
DAPK1	385.46153846153845	other
RRP9	75.0	other
CHST5	613.0	other
UGT2B28	377.0	other
IDO1	205.42857142857142	other
H3F3A	613.0	other
BOLA2	227.0	other
PRIMA1	1269.0	other
SLX1B	94.0	other
MFNG	304.1111111111111	other
AC006978.2	156.75	other
PAGE1	90.0	other
FADS6	751.0	other
SGO2	262.5	other
TMEM267	1186.25	other
CYHR1	434.0	other
UNC5C	3549.0	other
KDM5D	576.6666666666666	other
TBCK	276.0	other
AC105001.2	338.0	other
CEP97	704.5	other
LMX1A	1341.0	other
PRSS45	257.0	other
DECR2	159.43333333333334	other
MMP15	754.5	other
SHANK2	1154.5652173913043	other
OR4D9	4845.0	other
EIF4A2	224.4	other
PWP1	288.6	other
PRCD	119.2	other
KDM6A	522.047619047619	other
C8orf37	2697.0	other
BTBD11	1811.6666666666667	other
DEPDC5	194.66183574879227	other
COX8C	235.0	other
C1orf226	1580.5	other
PLA2G7	300.0	other
OLFML2B	190.28571428571428	other
ERICH5	276.0	other
LILRA5	195.5	other
C1orf115	2425.0	other
TMEM110-MUSTN1	240.5	other
RSRP1	369.3333333333333	other
SPARC	2474.0	other
ATAD3B	384.0	other
RBM3	635.2	other
ABCF1	711.0909090909091	other
LRRD1	404.6666666666667	other
LEPROTL1	517.1111111111111	other
CYP51A1	614.6666666666666	other
KDM2B	390.0	other
PTPRA	618.0	other
CCDC125	814.2	other
TIAF1	330.0	other
RGS13	759.0	other
RBMY1B	165.9	other
TGFB2	3256.0	other
OR52E8	74.0	other
OR52E6	27.0	other
ABHD10	448.5	other
ANKHD1-EIF4EBP3	331.0	other
AC017083.3	135.375	other
TBC1D25	537.5	other
ARHGAP9	269.0	other
ZCCHC6	695.3333333333334	other
CTRB1	427.0	other
FFAR2	1058.0	other
GU182355.2	305.0	other
RAC2	234.8	other
NFKB1	513.0	tr
KIFC1	213.25	other
SOD1	352.0	other
TCF4	618.2222222222222	tr
LRRC2	2127.0	other
P4HA1	999.8	other
AC007325.4	397.0	other
CACHD1	1496.0	other
SMARCAL1	51.0	other
ZNF662	1315.6666666666667	other
DYNLL1	302.3333333333333	other
CYP4V2	159.0	other
KLKB1	296.3333333333333	other
TRNP1	403.25	other
C15orf65	141.0	other
ATP5MC2	125.16666666666667	other
BEST3	731.5555555555555	other
LXN	253.5	other
NUDC	680.0	other
SUCNR1	3070.0	other
MRGPRX4	54.0	other
C9orf40	1466.0	other
AICDA	1378.5	other
MROH7	135.88571428571427	other
ALG10B	2461.25	other
P2RY12	436.0	other
IGSF10	1728.0	other
ATP6V1G2	845.625	other
KIF4B	567.0	other
CLRN1	287.3	other
AC020636.2	99.27777777777777	other
GOT2	327.2	other
C4orf47	144.8	other
HS3ST5	1670.0	other
TIPARP	1303.0	other
HELT	25.666666666666668	other
TTC39A	1227.857142857143	other
BDKRB1	159.0	other
DONSON	232.23333333333332	other
OXLD1	233.88888888888889	other
INTS3	172.05	other
CCDC137	301.4	other
VWA5B2	267.0	other
PDE6G	416.8	other
BMP3	3994.0	other
PVRIG	238.0	other
ITGB5	557.5	other
ADAM30	430.0	other
CAP1	669.1666666666666	other
RPS6KA1	192.46875	other
ADM2	1786.0	other
RPP21	53.794117647058826	other
KALRN	1732.5555555555557	other
SNX27	470.25714285714287	other
IGSF3	1968.3333333333333	other
SPRY1	1204.75	other
SPATA1	1414.0	other
EPHA3	1241.0	other
RNF5	408.375	other
CTBS	590.7857142857143	other
SPATA5	5385.0	other
DUSP6	1028.6666666666667	other
TBK1	726.0	other
MFGE8	264.6666666666667	other
CGN	1345.0	other
TDO2	415.0	other
ZNF268	1406.0666666666666	other
KBTBD2	647.0	other
KDELR1	718.0	other
WWTR1	583.2222222222222	other
GOLGA8N	3330.3333333333335	other
NRIP3	831.4	other
POU5F1	260.27777777777777	tr
KITLG	732.2777777777778	other
DYNLRB2	180.875	other
ZNF140	638.375	other
ZNF891	13466.0	other
ACVR1B	879.0	other
SYNGR4	146.33333333333334	other
SAP30	204.0	tr
CNOT4	1285.4285714285713	other
XPOT	597.5	other
GLIS1	378.5	other
DGKA	104.55	other
MTUS1	742.05	other
FAM162A	1035.6666666666667	other
GIT2	2189.714285714286	other
PPM1G	404.0	other
PDGFRL	331.0	other
NFE2	241.33333333333334	tr
FAM170B	458.0	other
PEX5L	1794.5555555555557	other
SOSTDC1	1035.0	other
RAPGEF2	1562.75	other
LRRC72	94.33333333333333	other
CBX5	5971.5	other
ARMC7	562.75	other
XRCC6	225.16666666666666	other
PLEKHG1	1379.0	other
ING2	143.0	other
SRGAP2B	915.6666666666666	other
HES7	980.0	other
SH3TC1	229.76923076923077	other
CDKN2AIP	1073.6666666666667	other
LILRA6	213.9433962264151	other
HSPA12B	944.0	other
PPIAL4F	89.0	other
NT5C	188.76923076923077	other
APP	746.3333333333334	other
STX16-NPEPL1	121.21428571428571	other
ZNF224	1601.0	other
MCOLN3	506.6	other
RBM5	258.85714285714283	other
TSPYL2	198.5	other
ENPEP	2029.5	other
MBD3L1	65.5	other
HYOU1	283.51851851851853	other
FLT1	1453.125	other
C6orf48	97.86	other
UFSP1	119.0	other
OR9I1	1757.0	other
CYB5B	1899.0	other
FAM212A	42.0	other
RIMS3	3069.5	other
HOXB13	2026.0	tr
BRI3BP	5800.0	other
NPEPL1	200.0	other
ARHGEF26	985.8	other
AVPR1B	496.0	other
LRPPRC	502.3333333333333	other
GGPS1	1049.0	other
SLC44A5	1863.0	other
PARP2	151.42857142857142	other
PRDM6	2513.6666666666665	other
FAM114A2	1153.75	other
NOXRED1	609.0	other
CEP85	1171.4	other
VIPR2	774.5	other
TUBGCP6	129.33333333333334	other
WDR63	150.88888888888889	other
GALNTL5	174.6060606060606	other
CTSE	896.0	other
GLTP	258.57142857142856	other
SVOPL	343.0	other
MFAP3	828.5	other
CCDC58	157.75	other
FAM212B	3518.6666666666665	other
LHX8	637.0	other
SGPL1	1313.0	other
PLEKHA7	889.625	other
CSTA	500.5	other
GAPDH	178.66666666666666	other
LENG8	1633.1818181818182	other
LENG9	295.5	other
SPON2	535.6666666666666	other
DDX20	260.2	tr
SLC28A2	411.2857142857143	other
PRSS22	277.7142857142857	other
OR8B8	1363.5	other
MBIP	363.42857142857144	other
RRP1B	2695.0	other
SLC41A1	2439.0	other
MAP3K1	2471.0	other
UBC	62.5	other
TBC1D2B	2206.6666666666665	other
C5orf67	154.0	other
GABRG1	5218.0	other
CLDN22	1361.0	other
ZNF667	1534.0	other
TARBP1	263.0	other
RBM6	133.675	other
HSPA1B	378.85714285714283	other
EMB	1336.0	other
COA6	228.0	other
PCSK9	1267.0	other
CAPG	118.0	other
RAB29	811.8571428571429	other
GBGT1	570.6666666666666	other
USP13	1160.2	other
ALOX12B	134.0	other
SCAF11	1001.0	other
LONP1	146.30434782608697	other
ACKR4	280.5	other
OR8G1	3752.0	other
GYPB	90.91666666666667	other
CSDC2	1017.0	other
ZNF571	658.8333333333334	other
HOXC4	472.5	other
AMPD2	403.27272727272725	other
RRH	406.0	other
SRRT	148.3125	other
ARHGAP8	165.42857142857142	other
